Freq(Hz),Average Gain (dB)
11049458333,-2.0981588
11091116667,-2.105175067
11132775000,-2.110421967
11174433333,-2.1106253
11216091667,-2.118898467
11257750000,-2.117240267
11299408333,-2.1225229
11341066667,-2.124943367
11382725000,-2.137196967
11424383333,-2.132217
11466041667,-2.140172767
11507700000,-2.143732233
11549358333,-2.149689667
11591016667,-2.152089933
11632675000,-2.153244833
11674333333,-2.161515
11715991667,-2.160560933
11757650000,-2.171001767
11799308333,-2.1721495
11840966667,-2.183491333
11882625000,-2.186216667
11924283333,-2.1850494
11965941667,-2.189812433
12007600000,-2.1908655
12049258333,-2.198579933
12090916667,-2.193955333
12132575000,-2.207964167
12174233333,-2.202374067
12215891667,-2.210060933
12257550000,-2.218803
12299208333,-2.217425833
12340866667,-2.2229608
12382525000,-2.2216274
12424183333,-2.2353212
12465841667,-2.228513467
12507500000,-2.241329733
12549158333,-2.241394767
12590816667,-2.241891333
12632475000,-2.2425383
12674133333,-2.248194033
12715791667,-2.258244533
12757450000,-2.251591133
12799108333,-2.257523467
12840766667,-2.2615397
12882425000,-2.270909633
12924083333,-2.2663277
12965741667,-2.271420733
13007400000,-2.2749691
13049058333,-2.2855092
13090716667,-2.285388067
13132375000,-2.2849183
13174033333,-2.290890833
13215691667,-2.292901933
13257350000,-2.300811233
13299008333,-2.302153567
13340666667,-2.309249967
13382325000,-2.3087926
13423983333,-2.319179667
13465641667,-2.311901867
13507300000,-2.321510067
13548958333,-2.3214334
13590616667,-2.332924033
13632275000,-2.3389522
13673933333,-2.341270033
13715591667,-2.348945367
13757250000,-2.342138033
13798908333,-2.355835433
13840566667,-2.346789233
13882225000,-2.359497867
13923883333,-2.354209367
13965541667,-2.377716233
14007200000,-2.372755833
14048858333,-2.369394433
14090516667,-2.383671967
14132175000,-2.375173667
14173833333,-2.3887777
14215491667,-2.381422133
14257150000,-2.404981133
14298808333,-2.3943928
14340466667,-2.3952934
14382125000,-2.400401133
14423783333,-2.399135733
14465441667,-2.408144933
14507100000,-2.4072357
14548758333,-2.422414
14590416667,-2.417566
14632075000,-2.424288433
14673733333,-2.425133167
14715391667,-2.4289577
14757050000,-2.436366567
14798708333,-2.4342793
14840366667,-2.4421324
14882025000,-2.4441661
14923683333,-2.446017267
14965341667,-2.451217967
15007000000,-2.451648067
15048658333,-2.456882867
15090316667,-2.4583602
15131975000,-2.461919067
15173633333,-2.465071433
15215291667,-2.472405267
15256950000,-2.4772672
15298608333,-2.475393633
15340266667,-2.482891967
15381925000,-2.4872098
15423583333,-2.4926469
15465241667,-2.492884033
15506900000,-2.497866933
15548558333,-2.505983567
15590216667,-2.502698467
15631875000,-2.5046184
15673533333,-2.512069
15715191667,-2.518473633
15756850000,-2.520283867
15798508333,-2.515750167
15840166667,-2.522564
15881825000,-2.523104033
15923483333,-2.528129967
15965141667,-2.530515267
16006800000,-2.534928167
16048458333,-2.538648367
16090116667,-2.54219
16131775000,-2.546239767
16173433333,-2.552814633
16215091667,-2.558752967
16256750000,-2.560891933
16298408333,-2.5633123
16340066667,-2.5665845
16381725000,-2.5718929
16423383333,-2.580632033
16465041667,-2.581117967
16506700000,-2.5830865
16548358333,-2.589017167
16590016667,-2.587696333
16631675000,-2.596851967
16673333333,-2.596925267
16714991667,-2.605179567
16756650000,-2.603855533
16798308333,-2.612168067
16839966667,-2.6148079
16881625000,-2.614961133
16923283333,-2.621773
16964941667,-2.620054067
17006600000,-2.630260533
17048258333,-2.623013267
17089916667,-2.637574033
17131575000,-2.637424867
17173233333,-2.6377759
17214891667,-2.639751067
17256550000,-2.643347367
17298208333,-2.656709667
17339866667,-2.651813433
17381525000,-2.655036633
17423183333,-2.649703167
17464841667,-2.6625477
17506500000,-2.663130567
17548158333,-2.664088333
17589816667,-2.6655786
17631475000,-2.669030967
17673133333,-2.678355067
17714791667,-2.676745867
17756450000,-2.6788245
17798108333,-2.680280767
17839766667,-2.687865867
17881425000,-2.6848434
17923083333,-2.688342067
17964741667,-2.6868469
18006400000,-2.699287967
18048058333,-2.6988805
18089716667,-2.704685933
18131375000,-2.705883567
18173033333,-2.7085895
18214691667,-2.7135036
18256350000,-2.714306933
18298008333,-2.732686533
18339666667,-2.719756267
18381325000,-2.7318669
18422983333,-2.732903867
18464641667,-2.737216767
18506300000,-2.7415134
18547958333,-2.739957267
18589616667,-2.745319233
18631275000,-2.7442896
18672933333,-2.760241833
18714591667,-2.749019633
18756250000,-2.776579933
18797908333,-2.762454167
18839566667,-2.772794167
18881225000,-2.778269533
18922883333,-2.771392133
18964541667,-2.788971367
19006200000,-2.778764567
19047858333,-2.791755767
19089516667,-2.787954967
19131175000,-2.791761667
19172833333,-2.796736333
19214491667,-2.800081667
19256150000,-2.809219367
19297808333,-2.8025507
19339466667,-2.820479067
19381125000,-2.8150974
19422783333,-2.8211016
19464441667,-2.825402167
19506100000,-2.8208531
19547758333,-2.8283279
19589416667,-2.832642433
19631075000,-2.846185367
19672733333,-2.838706467
19714391667,-2.838434533
19756050000,-2.839822133
19797708333,-2.849279333
19839366667,-2.853996333
19881025000,-2.857167533
19922683333,-2.8674333
19964341667,-2.8613703
20006000000,-2.865345033
20047658333,-2.863011833
20089316667,-2.869278867
20130975000,-2.8725527
20172633333,-2.880575567
20214291667,-2.886033433
20255950000,-2.888322933
20297608333,-2.888970533
20339266667,-2.8867786
20380925000,-2.886198367
20422583333,-2.908633467
20464241667,-2.910116333
20505900000,-2.9083373
20547558333,-2.914615667
20589216667,-2.909435433
20630875000,-2.930863467
20672533333,-2.923270867
20714191667,-2.926211367
20755850000,-2.930878767
20797508333,-2.940184767
20839166667,-2.946579533
20880825000,-2.933920133
20922483333,-2.9478963
20964141667,-2.9373257
21005800000,-2.956200933
21047458333,-2.9443651
21089116667,-2.967026633
21130775000,-2.9767697
21172433333,-2.958803567
21214091667,-2.971940267
21255750000,-2.957874867
21297408333,-2.9783435
21339066667,-2.9653208
21380725000,-2.993955467
21422383333,-2.9817036
21464041667,-2.986651167
21505700000,-2.9945927
21547358333,-2.986924167
21589016667,-2.9988347
21630675000,-2.994054333
21672333333,-3.024235467
21713991667,-2.9978359
21755650000,-3.012814067
21797308333,-3.007590533
21838966667,-3.013033
21880625000,-3.0134452
21922283333,-3.019995767
21963941667,-3.031228933
22005600000,-3.018586633
22047258333,-3.0334536
22088916667,-3.0204974
22130575000,-3.0388903
22172233333,-3.030742333
22213891667,-3.0326415
22255550000,-3.040167333
22297208333,-3.0423305
22338866667,-3.0453581
22380525000,-3.046648833
22422183333,-3.046600167
22463841667,-3.052306033
22505500000,-3.055650467
22547158333,-3.054521867
22588816667,-3.0623808
22630475000,-3.0644885
22672133333,-3.0717954
22713791667,-3.0657111
22755450000,-3.071514767
22797108333,-3.0733292
22838766667,-3.087392733
22880425000,-3.085149533
22922083333,-3.082916033
22963741667,-3.100856367
23005400000,-3.091666967
23047058333,-3.1021757
23088716667,-3.096435533
23130375000,-3.1129845
23172033333,-3.1112318
23213691667,-3.1146442
23255350000,-3.122335467
23297008333,-3.1163524
23338666667,-3.1351935
23380325000,-3.1257054
23421983333,-3.146586633
23463641667,-3.136072033
23505300000,-3.1469098
23546958333,-3.144513933
23588616667,-3.143809733
23630275000,-3.159267267
23671933333,-3.1402196
23713591667,-3.158047667
23755250000,-3.151690567
23796908333,-3.182178
23838566667,-3.167031433
23880225000,-3.166607367
23921883333,-3.172386333
23963541667,-3.1696236
24005200000,-3.1821611
24046858333,-3.1662674
24088516667,-3.193368433
24130175000,-3.1795295
24171833333,-3.192686267
24213491667,-3.1867237
24255150000,-3.190261467
24296808333,-3.186753367
24338466667,-3.195424567
24380125000,-3.203910833
24421783333,-3.1965328
24463441667,-3.199946233
24505100000,-3.189475233
24546758333,-3.202080233
24588416667,-3.198900533
24630075000,-3.210046967
24671733333,-3.211633367
24713391667,-3.209594567
24755050000,-3.2041718
24796708333,-3.2048196
24838366667,-3.208403667
24880025000,-3.2085938
24921683333,-3.2132922
24963341667,-3.2119301
25005000000,-3.217623867
25046658333,-3.213523
25088316667,-3.220202767
25129975000,-3.2173276
25171633333,-3.218738
25213291667,-3.219634
25254950000,-3.224075567
25296608333,-3.228823367
25338266667,-3.224303633
25379925000,-3.2356146
25421583333,-3.235230033
25463241667,-3.240202267
25504900000,-3.238643567
25546558333,-3.247813133
25588216667,-3.258556067
25629875000,-3.252930667
25671533333,-3.2674311
25713191667,-3.2728122
25754850000,-3.275149167
25796508333,-3.273757933
25838166667,-3.291123167
25879825000,-3.294030667
25921483333,-3.2927158
25963141667,-3.3043027
26004800000,-3.309627633
26046458333,-3.320336767
26088116667,-3.322579933
26129775000,-3.3389183
26171433333,-3.332757133
26213091667,-3.336821867
26254750000,-3.352775533
26296408333,-3.3493333
26338066667,-3.3550197
26379725000,-3.348241067
26421383333,-3.360535933
26463041667,-3.357453733
26504700000,-3.3721485
26546358333,-3.377366767
26588016667,-3.3721528
26629675000,-3.376046167
26671333333,-3.3779262
26712991667,-3.3833833
26754650000,-3.386497933
26796308333,-3.395615733
26837966667,-3.3870967
26879625000,-3.395906233
26921283333,-3.401824867
26962941667,-3.397893733
27004600000,-3.404114667
27046258333,-3.404679367
27087916667,-3.419281633
27129575000,-3.4142608
27171233333,-3.432177733
27212891667,-3.4259348
27254550000,-3.437399933
27296208333,-3.433063967
27337866667,-3.445434433
27379525000,-3.442812133
27421183333,-3.449405667
27462841667,-3.469594533
27504500000,-3.461906833
27546158333,-3.481031667
27587816667,-3.4651919
27629475000,-3.4865397
27671133333,-3.4734313
27712791667,-3.5006198
27754450000,-3.4951392
27796108333,-3.507146067
27837766667,-3.5061364
27879425000,-3.4952669
27921083333,-3.5094951
27962741667,-3.515507933
28004400000,-3.545581167
28046058333,-3.509621933
28087716667,-3.5431715
28129375000,-3.5350749
28171033333,-3.547103667
28212691667,-3.5447105
28254350000,-3.552440467
28296008333,-3.5654323
28337666667,-3.5428898
28379325000,-3.578618133
28420983333,-3.548437367
28462641667,-3.574684233
28504300000,-3.553309367
28545958333,-3.593469933
28587616667,-3.571466933
28629275000,-3.578411067
28670933333,-3.5963571
28712591667,-3.576140067
28754250000,-3.606649567
28795908333,-3.581944233
28837566667,-3.627704367
28879225000,-3.594575733
28920883333,-3.634692833
28962541667,-3.6116031
29004200000,-3.615204567
29045858333,-3.621292033
29087516667,-3.6136866
29129175000,-3.6270024
29170833333,-3.626811667
29212491667,-3.6614306
29254150000,-3.623100267
29295808333,-3.647241567
29337466667,-3.624106
29379125000,-3.659312967
29420783333,-3.640902033
29462441667,-3.654971133
29504100000,-3.658122467
29545758333,-3.663347567
29587416667,-3.6835703
29629075000,-3.6513287
29670733333,-3.691371433
29712391667,-3.661738167
29754050000,-3.696408633
29795708333,-3.6652964
29837366667,-3.696257333
29879025000,-3.690488967
29920683333,-3.682511333
29962341667,-3.694265667
30004000000,-3.693680233
30045658333,-3.734179133
30087316667,-3.688631867
30128975000,-3.725063267
30170633333,-3.699030067
30212291667,-3.728921
30253950000,-3.711476733
30295608333,-3.716689333
30337266667,-3.737593
30378925000,-3.714525
30420583333,-3.751380933
30462241667,-3.721229
30503900000,-3.741804533
30545558333,-3.7269993
30587216667,-3.742933967
30628875000,-3.742321
30670533333,-3.753301633
30712191667,-3.7766249
30753850000,-3.748309367
30795508333,-3.765748767
30837166667,-3.740478467
30878825000,-3.772286333
30920483333,-3.754175033
30962141667,-3.774594533
31003800000,-3.771081133
31045458333,-3.770327633
31087116667,-3.782925133
31128775000,-3.7661468
31170433333,-3.790185033
31212091667,-3.770979333
31253750000,-3.795157367
31295408333,-3.7817642
31337066667,-3.795392667
31378725000,-3.795665667
31420383333,-3.798604033
31462041667,-3.7949667
31503700000,-3.799732533
31545358333,-3.821359133
31587016667,-3.802921367
31628675000,-3.809976633
31670333333,-3.805479267
31711991667,-3.825265733
31753650000,-3.810461833
31795308333,-3.827156367
31836966667,-3.817855133
31878625000,-3.835599567
31920283333,-3.8439324
31961941667,-3.8265697
32003600000,-3.842849
32045258333,-3.823737767
32086916667,-3.844146967
32128575000,-3.833100333
32170233333,-3.870602767
32211891667,-3.8495497
32253550000,-3.8532532
32295208333,-3.856427367
32336866667,-3.861727733
32378525000,-3.8756875
32420183333,-3.8558266
32461841667,-3.875880433
32503500000,-3.8594932
