0,-75.60829926
0.005033267,-75.54676819
0.010066533,-75.55200195
0.0150998,-75.54454041
0.020133067,-75.54293823
0.025166333,-75.55603027
0.0301996,-75.53071594
0.035232867,-75.56575775
0.040266133,-75.54724884
0.0452994,-75.55046082
0.050332667,-75.55200195
0.055365933,-75.53548431
0.0603992,-75.55988312
0.065432467,-75.58277893
0.070465733,-75.56770325
0.075499,-75.61180878
0.080532267,-75.57151031
0.085565533,-75.58787537
0.0905988,-75.5371933
0.095632067,-75.50128937
0.100665333,-75.53501892
0.1056986,-75.55406952
0.110731867,-75.56876373
0.115765133,-75.55741119
0.1207984,-75.55979156
0.125831667,-75.55165863
0.130864933,-75.55297852
0.1358982,-75.56873322
0.140931467,-75.56608582
0.145964733,-75.55706787
0.150998,-75.55652618
0.156031267,-75.61183929
0.161064533,-75.55531311
0.1660978,-75.56713104
0.171131067,-75.51857758
0.176164333,-75.56291199
0.1811976,-75.5790329
0.186230867,-75.5688324
0.191264133,-75.55896759
0.1962974,-75.59135437
0.201330667,-75.52932739
0.206363933,-75.55876923
0.2113972,-75.56768036
0.216430467,-75.59785461
0.221463733,-75.54447937
0.226497,-75.53270721
0.231530267,-75.55815125
0.236563533,-75.54298401
0.2415968,-75.52587128
0.246630067,-75.58161926
0.251663333,-75.57492065
0.2566966,-75.59103394
0.261729867,-75.53328705
0.266763133,-75.5598526
0.2717964,-75.59870148
0.276829667,-75.55950928
0.281862933,-75.54295349
0.2868962,-75.55392456
0.291929467,-75.57826996
0.296962733,-75.56525421
0.301996,-75.56616974
0.307029267,-75.55395508
0.312062533,-75.57836151
0.3170958,-75.55353546
0.322129067,-75.5667038
0.327162333,-75.54766846
0.3321956,-75.57201385
0.337228867,-75.53198242
0.342262133,-75.55137634
0.3472954,-75.58203888
0.352328667,-75.57247925
0.357361933,-75.56093597
0.3623952,-75.59296417
0.367428467,-75.5433197
0.372461733,-75.5541153
0.377495,-75.53785706
0.382528267,-75.57962036
0.387561533,-75.58917236
0.3925948,-75.5865097
0.397628067,-75.57181549
0.402661333,-75.56713867
0.4076946,-75.58407593
0.412727867,-75.53652191
0.417761133,-75.52301788
0.4227944,-75.5530014
0.427827667,-75.53057098
0.432860933,-75.5471344
0.4378942,-75.55245209
0.442927467,-75.58188629
0.447960733,-75.56012726
0.452994,-75.57295227
0.458027267,-75.56632996
0.463060533,-75.57666779
0.4680938,-75.56832123
0.473127067,-75.55312347
0.478160333,-75.53305817
0.4831936,-75.58901978
0.488226867,-75.57003784
0.493260133,-75.55475616
0.4982934,-75.55483246
0.503326667,-75.55497742
0.508359933,-75.53204346
0.5133932,-75.52947235
0.518426467,-75.56774139
0.523459733,-75.57162476
0.528493,-75.56841278
0.533526267,-75.55315399
0.538559533,-75.55628204
0.5435928,-75.53166199
0.548626067,-75.52783203
0.553659333,-75.57796478
0.5586926,-75.51998138
0.563725867,-75.5785675
0.568759133,-75.5701828
0.5737924,-75.54338837
0.578825667,-75.5872345
0.583858933,-75.5560379
0.5888922,-75.59671783
0.593925467,-75.58144379
0.598958733,-75.56487274
0.603992,-75.54199982
